Designator,Mid X,Mid Y,Rotation,Layer
_12,61.924861,-83.645394,0.0,top
_11,139.425181,-82.3625,0.0,top
_10,164.435181,-27.4125,0.0,top
_9,190.584861,-100.015394,0.0,top
_8,250.334861,-25.995394,0.0,top
_7,164.515181,-36.8025,0.0,top
_6,139.435181,-36.8325,0.0,top
_5,53.664861,-26.025394,0.0,top
_4,242.094861,-83.625394,0.0,top
_3,139.445181,-27.3725,0.0,top
_2,113.454861,-100.035394,0.0,top
,164.545181,-82.3525,0.0,top
C1,153.046181,-41.72,0.0,top
C10,149.526181,-41.02,0.0,top
C11,156.896181,-45.87,270.0,top
C12,147.496181,-45.97,90.0,top
C13,157.93,-49.95,90.0,top
C14,154.296181,-55.47,0.0,top
C2,156.146181,-41.72,180.0,top
C3,149.896181,-58.42,0.0,top
C4,151.896181,-58.42,180.0,top
C5,157.896181,-45.87,270.0,top
C6,155.846181,-44.42,0.0,top
C7,151.896181,-43.67,90.0,top
C8,154.296181,-54.37,0.0,top
C9,146.696181,-50.97,270.0,top
D1,154.636181,-57.7,0.0,top
D10,143.165,-46.2,180.0,top
D11,143.165,-48.74,180.0,top
D12,143.165,-51.28,180.0,top
D13,164.81,-42.29,0.0,top
D14,164.755,-44.88,0.0,top
D15,164.755,-47.42,0.0,top
D16,164.755,-49.96,0.0,top
D17,164.755,-52.5,0.0,top
D18,143.165,-53.82,180.0,top
D19,143.165,-56.36,180.0,top
D2,151.496181,-39.32,270.0,top
D20,143.165,-58.9,180.0,top
D21,143.165,-61.44,180.0,top
D22,139.355,-62.66,180.0,top
D23,164.77,-55.04,0.0,top
D24,164.755,-57.58,0.0,top
D25,160.95,-53.77,0.0,top
D26,160.945,-56.31,0.0,top
D27,160.92,-58.87,0.0,top
D28,139.355,-52.5,180.0,top
D29,139.355,-49.96,180.0,top
D3,160.945,-51.23,0.0,top
D30,139.355,-47.42,180.0,top
D31,139.355,-44.88,180.0,top
D32,139.355,-42.34,180.0,top
D33,164.755,-60.12,0.0,top
D34,164.755,-62.66,0.0,top
D35,160.9,-61.39,0.0,top
D36,139.355,-60.12,180.0,top
D37,139.355,-57.58,180.0,top
D38,139.355,-55.04,180.0,top
D39,152.2,-32.45,180.0,bottom
D4,160.945,-48.69,0.0,top
D40,114.09,-40.21,0.0,bottom
D41,58.17,-40.14,180.0,bottom
D42,57.66,-77.64,180.0,bottom
D43,113.93,-77.62,180.0,bottom
D44,152.07,-100.54,180.0,bottom
D45,190.12,-77.65,180.0,bottom
D46,243.77,-77.59,180.0,bottom
D47,243.75,-40.37,180.0,bottom
D48,190.27,-40.12,180.0,bottom
D5,160.945,-46.15,0.0,top
D6,160.945,-43.61,0.0,top
D7,160.945,-41.07,0.0,top
D8,143.165,-41.12,180.0,top
D9,143.165,-43.66,180.0,top
F1,149.696181,-38.97,270.0,top
FB1,147.046181,-38.12,90.0,top
J1,152.187581,-19.7505,180.0,top
J2,146.892,-82.296,90.0,top
J3,155.73,-77.54,270.0,top
R1,154.636181,-56.6,180.0,top
R10,155.846181,-43.37,180.0,top
R11,157.396181,-43.88,90.0,top
R2,157.196181,-54.17,0.0,top
R3,147.096181,-54.17,180.0,top
R4,157.746181,-37.67,270.0,top
R5,148.346181,-38.42,270.0,top
R6,153.196181,-43.77,270.0,top
R7,154.296181,-43.77,270.0,top
R8,152.646181,-56.57,90.0,top
R9,147.576181,-41.02,0.0,top
SW1,157.196181,-56.87,90.0,top
SW10,85.440443,-32.28275,180.0,bottom
SW11,66.390443,-32.28275,180.0,bottom
SW12,47.350443,-39.03275,180.0,bottom
SW13,256.930443,-58.09275,180.0,bottom
SW14,237.890443,-51.34275,180.0,bottom
SW15,218.840443,-51.34275,180.0,bottom
SW16,199.790443,-51.34275,180.0,bottom
SW17,180.740443,-51.34275,180.0,bottom
SW18,123.540443,-51.33275,180.0,bottom
SW19,104.490443,-51.33275,180.0,bottom
SW2,147.166181,-56.88,90.0,top
SW20,85.440443,-51.33275,180.0,bottom
SW21,66.390443,-51.33275,180.0,bottom
SW22,47.350443,-58.08275,180.0,bottom
SW23,256.930443,-77.14275,180.0,bottom
SW24,237.890443,-70.39275,180.0,bottom
SW25,218.840443,-70.39275,180.0,bottom
SW26,199.790443,-70.39275,180.0,bottom
SW27,180.740443,-70.39275,180.0,bottom
SW28,123.540443,-70.38275,180.0,bottom
SW29,104.490443,-70.38275,180.0,bottom
SW3,256.930443,-39.04275,180.0,bottom
SW30,85.440443,-70.38275,180.0,bottom
SW31,66.390443,-70.38275,180.0,bottom
SW32,47.350443,-77.13275,180.0,bottom
SW33,199.810443,-89.41275,180.0,bottom
SW34,180.740443,-91.71275,180.0,bottom
SW35,161.690443,-96.80275,180.0,bottom
SW36,142.650443,-96.80275,180.0,bottom
SW37,123.580443,-91.71275,180.0,bottom
SW38,104.480443,-89.41275,180.0,bottom
SW4,237.890443,-32.29275,180.0,bottom
SW5,218.840443,-32.29275,180.0,bottom
SW6,199.790443,-32.29275,180.0,bottom
SW7,180.740443,-32.29275,180.0,bottom
SW8,123.540443,-32.28275,180.0,bottom
SW9,104.490443,-32.28275,180.0,bottom
U1,152.196181,-49.27,0.0,top
U2,148.546181,-42.87,0.0,top
U3,154.646181,-39.22,0.0,top
Y1,150.596181,-56.17,270.0,top
